.,English
Token_Billar.button1,Botón1
Event_Control1_Bolas_Billar.text,Some of the billiard balls are missing and some of the remaining have a strange dark red stain on them.({will}:1)
Event_Control1_Bolas_Billar.button1,{action} Examine
Event_Control1_Bolas_Billar.button2,Cancel
Event_OBSERVAS_BOLAS.text,"You look at each of the billiard balls and unexpectedly a ball shoots towards you ({agility}: 2) \n If you pass, you manage to dodge the ball in time without sustaining a scratch. If you fail, the ball manages to hit one of your shoulders. Suffer 2 facedown Damage. \n\n Move the Search token as indicated."
Event_OBSERVAS_BOLAS.button1,Continue
Token_Bola1.button1,Botón1
Event_Control1_Bola1.text,This is the ball that fell to the floor. It has a dark red stain, like dried blood.
Event_Control1_Bola1.button1,{action} Examine
Event_Control1_Bola1.button2,Cancel
Event_SIMBOLO2.text,"A symbol is engraved on the side of one of its keys: \n <color=orange>2{success}</color> \n\n Gain 1 Clue <color=green><b>{clue}</b></color>. \n\n Remove the token."
Event_SIMBOLO1.text,"The ball has a number and symbol engraved on it. \n <color=blue>1{success}</color> \n\n You gain 1 Clue <color=green><b> {clue}</b></color>. \n\n Remove the Search token."
Token_Pasillo1.button1,Botón1
Event_Control1_Pasillo1_1.text,The hall continues here.
Event_Control1_Pasillo1_1.button1,Move on
Event_AVANZAS_PASILLO1.text,|||A silhouette at the end of the hallway slowly crosses towards the west of the hotel accompanied by a dark sound. \n "Denise? Bobby? Is it you?" \n\n Place the <color=#e3b529>{c:Tile_Pasillo1}</color> Tile, the <b>Painting</b> token, the <color=red><i>Explore</i></color> tokens and the <color=yellow><i>Search</i></color> tokens as indicated. \n\n Remove the Sight token.|||
Event_AVANZAS_PASILLO1.button1,Continue
Event_Control1_Pasillo1_1.button2,Cancel
Token_Mesa_Pasillo1.button1,Botón1
Token_Silueta.button1,Botón1
Event_Control1_Silueta.text,You just see a dark figure heading west of the hotel.
Event_Control1_Silueta.button1,{action} Check
Event_Control1_Silueta.button2,Cancel
Event_REVISAS_SILUETA.button1,Continue
Event_Control1_Mesa.text,A folder full of papers is lying on the floor.
Event_REVISAS_SILUETA.text,"The figure you saw was heading in this direction, but there was no door there, just a huge, empty wall. \n This situation makes your hair stand on end. \n\n Suffer 1 facedown Horror ({will} negates). \n Remove the Search token."
Event_Control1_Mesa.button1,{action} Read ({lore}: 1)
Event_Control1_Mesa.button2,Cancel
Event_LEES_REGISTRO.text,"There is a complete record of guests who stayed at the hotel during the last year before it closed. \n You gossip a little about those records without knowing very well what you are going to find. Surprisingly you find a note with your father's name: \n\n <i>Date: October 10, 1937, \n Check-in time: 08:45h \n Guests: Patrick Adams</i> \n\n Behind him, another row of names were recorded the same day and at the same time. They must have been your father's fellow Marines. Another particular name is on that list: \n <i>Jonathan Foster</i> \n"
Event_LEES_REGISTRO.button1,Continue
Event_JONATHAN_FOSTER.button1,Continue
Event_Control2_Pasillo1.text,You should explore more of the hotel before returning to your room.
Event_JONATHAN_FOSTER.text,|||<i>"Jonathan Foster? He must be Bobby's family, but that's not his father's name. Could it be your uncle? He's never mentioned it to me."</i> \n\n Gain <color=green><b>2 Clues {clue}</b></color>. \n Remove the Search token.|||
Event_Control2_Pasillo1.button1,Continue
Token_Puerta_Salon.button1,Botón1
Event_Control1_Hab3.button1,{action} Open
Event_APARECE_BOBBY.text,|||"Bobby! You scared the life out of me! I didn't hear you coming... " \n\n You can barely finish the sentence before Bobby lunges at you. \n\n In one swift, abrupt gesture he grabs your hands and holds them against the wall. That was your first kiss, you were never going to forget it. \n\n Place the  <color=cyan><i>Bobby Foster</i></color> token as indicated.|||
Event_APARECE_BOBBY.button1,Continue
Event_Control1_Hab3.text,This door leads to another room in the hotel.
Event_Control1_Hab3.button2,Cancel
Event_RESPIRACION_BOBBY.text,When trying to open the door you feel a deep and calm breath behind your neck.
Token_Bobby2.button1,Botón1
Event_Control1_Bobby2.button1,Botón1
Event_Bobby2_R_B_P.button1,{action} Rebuke his behaviour
Event_Bobby2_P.button1,{action} Ask where he has been
Event_Bobby2_R_B_P.text,You are very blushed after Bobby's gesture.
Event_Bobby2_R_B_P.button4,Cancel
Event_Bobby2_R_B_P.button3,{action} Ask where he has been
Event_Bobby2_R_B_P.button2,{action} Back kiss
Event_Bobby2_P.text,This encounter reminds you of the frequent abuse you received at the club. It's an uncomfortable feeling.
Event_REPRENDES_BOBBY.button1,Continue
Event_BESO_BOBBY.button1,Continue
Event_REPRENDES_BOBBY.text,"You firmly rebuke Bobby's action, he has no right to treat you as he pleases. \n He doesn't seem to be affected by your reprimand but apologizes."
Event_DONDE_BOBBY.button1,Continue
Event_BESO_BOBBY.text,"You reply by kissing Bobby back. You think that deeper feelings for him are welling up inside you. \n\n You become <b>Focused</b>."
Event_Bobby2_Todas.text,|||You ask Bobby to let you into his room, but he answers mockingly as he locks it: \n <color=aqua><i>"A lady should not go to a man's chambers without his permission. It wouldn't be chivalrous of me to let you in there. What would people say?"</i></color>|||
Event_Bobby2_Todas.button1,Continue
Event_DONDE_BOBBY.text,|||"I haven't seen you since last night. Where have you been?" \n\n Bobby explains to you that he had to leave the hotel to run errands his father had sent him, but he reminds you he is glad to see you.|||
Event_Bobby2_P.button2,Cancel
Event_SE_VA_BOBBY2.text,|||Politely Bobby bids you farewell with a warm kiss on the hand. \n <color=aqua><i>"I must attend to other matters, milady."</i></color> \n\n Remove the Person token.|||
Event_SE_VA_BOBBY2.button1,Continue
Event_Control2_Hab3.text,This door is locked.
Event_Control2_Hab3.button1,Continue
Event_SONIDO_SALON1.button1,Continue
Event_SONIDO_SALON2.text,You hear a sound coming from the living room.
Event_Control1_Salon.text,This door takes to the living room.
Event_Control1_Salon.button1,{action} Explore
Event_Control1_Salon.button2,Cancel
Event_ENTRAS_SALON.text,"A large room located to the west of the hotel is decorated with a couple of tables and a huge dusty grand piano. \n Denise is sitting next to the piano. \n\n Place the <color=#e3b529>{c:Tile_Salon}</color> Tile, the <b>Shelf</b> token and the Person token <color=fuchsia><i>Denise</i></color> (Othera Gilman) as indicated. \n\n Remove the Explore token."
Event_ENTRAS_SALON.button1,Continue
Token_Dennis2.button1,Botón1
Event_SONIDO_SALON2.button1,Continue
Event_SONIDO_SALON1.text,You hear a sound coming from the living room.
Event_Dennis2_R_B_A.text,Denise is sitting on the stool in front of the piano. She seems to be looking for something.
Event_Control1_Dennis2.button1,Botón1
Event_Dennis2_R_B_A.button1,|||{action} "What was that noise?"|||
Event_Dennis2_R_B_A.button3,|||{action} "I am glad to be here with you."|||
Event_Dennis2_R_B_A.button4,Cancel
Event_Dennis2_R_B.button1,|||{action} "What was that noise?"|||
Event_RUIDO_DENNIS2.button1,Continue
Event_BUSCAS_DENNIS2.text,|||Denise's discomfort with this question is palpable. \n <color=magenta><i>"The piano, it sounded by itself without touching the keys"</i></color>, Denise's worried expression explains the situation well, <color=magenta><i>"I was looking to see if this piano has some kind of mechanism to make it sound without touching it. This is very strange."</i></color> \n\n Perplexed you ask Denise if she is sure, and she flatly confirms it.|||
Event_BUSCAS_DENNIS2.button1,Continue
Event_ALEGRA_DENNIS2.text,You express your appreciation to Denise for coming with you and daring to escape the club. You appreciate it.
Event_ALEGRA_DENNIS2.button1,Continue
Event_Dennis2_R_B_A.button2,|||{action} "Are you looking for something?"|||
Event_RUIDO_DENNIS2.text,|||You can see Denise's discomfort with that question. \n <color=magenta><i>"The piano played by itself without touching the keys. How is this possible?"</i></color> \n Perplexed, you ask Denise if she is sure, she confirms it flatly. \n This situation worries you, you appreciate Denise a lot and you don't like seeing her like this.|||
Event_Dennis2_R_B.button2,|||{action} "Are you looking for something?"|||
Event_Dennis2_R_B.button3,Cancel
Event_COLLAR_DENNIS2.text,|||Denise looks worried at your pendant. I believe that the necklace your parents gave you when you were a child is much more valuable than you think. \n <color=magenta><i>"Wendy, don't be mad at me for this, but I think Bobby brought us here to get that pendant. I've caught him watching him several times, he stays dumbfounded looking at him."</i></color> \n\n That accusation leaves you rather cold.|||
Event_Dennis2_R_B.text,Denise is sitting on the stool in front of the piano. She seems to be looking for something.
Event_PROPUESTA_COLLAR_DENNIS2.button1,Accept proposal
Event_ACEPTAS_PROPUESTA_DENNIS2.text,|||You place your trust in Denise by giving her the necklace that your mother gave you when you were a girl. \n <color=magenta><i>"I'll make sure no one finds it. You've done the right thing, Wendy."</i></color> \n\n Remove the Person token and discard the {c:QItem_Colgante} Common Item.|||
Event_PROPUESTA_COLLAR_DENNIS2.button2,Reject proposal
Event_COLLAR_DENNIS2.button1,Continue
Event_PROPUESTA_COLLAR_DENNIS2.text,|||<color=magenta><i>"I have a bad feeling. I know you have feelings for Bobby and you may find that hard to believe, but I know that if he gets his hands on it we're in serious trouble. We can hide the pendant and see how he reacts so you can test my theory. I know a safe place to do it.</i></color> \n\n She is convinced of her suspicions against Bobby.|||
Event_ACEPTAS_PROPUESTA_DENNIS2.button1,Continue
Event_RECHAZAS_PROPUESTA_DENNIS2.text,|||For a few seconds, Denise's face reflects surprise as well as anger. \n <color=magenta><i>"I hope I'm wrong, but be careful anyway. I'll be here in case you change your mind."</i></color> \n\n Remove the Person token.|||
Event_RECHAZAS_PROPUESTA_DENNIS2.button1,Continue
Event_PIANO.button1,Continue
Event_TABLONES_MADERA.button1,Continue
Event_PIANO.text,"You watch as Denise leaves the room, not quite sure how to interpret your suspicions. \n\n You look at the piano and notice that some of the keys are slightly lower than the rest. \n\n Place the <color=yellow><i>Search</i></color> token as indicated."
Token_Piano.button1,Botón1
Event_TABLONES_MADERA.text,"Due to the passage of time, some tables in the living room are destroyed. \n\n Place the <b>{c:QItem_Tablones_Madera}</b> Common Item. \n You may move 1 or 2 spaces into the explored area."
Event_Control1_Piano.text,"Denise was looking for something in this piano. \n Some of its keys are slightly stuck."
Event_Control1_Piano.button1,{action} Investigate
Event_SIMBOLO2.button1,Continue
Puzzle_Piano.button1,Solve
Event_Control1_Piano.button2,Cancel
Event_DIARIO_SIMBOLOS.text,"These colorful numbers and symbols scattered around the hotel seem curious to you, so you decide to write them down in your diary, in case you need them. \n\n Gain the Unique item <b>Old Diary</b>. \n You may interact with it from the Items button (<b>Items</b>) at the bottom left corner of the application."
Event_DIARIO_SIMBOLOS.button1,Continue
Event_Control0_Diario.button1,Read
Event_DIARIO_SIMBOLO1.button1,Continue
Event_DIARIO_SIMBOLO2.text,You found the number <color=Orange>2{success} </color> on the piano key.
Event_DIARIO_SIMBOLO1.text,You found the number <color=Blue>1{success} </color> on the billiard ball.
Event_DIARIO_SIMBOLO2.button1,Continue
Event_DIARIO_SIMBOLO3.text,You found the number <color=red>3{success}</color> on the small sculpture on the shelf.
Event_DIARIO_SIMBOLO3.button1,Continue
Event_SIMBOLO3.text,"All these books are full of dust, there are even some pages destroyed by the passage of time. \n When you choose one of those books, you find behind it a small, greenish sculpture also covered in dust. \n Below it is a number with a symbol: <color=red> \n 3{success}</color> \n\n Gain <color=green><b>1 Clue {clue}</b></color> and the <b>Grotesque stone</b> Unique item. \n\n Remove this Search token."
